Date_HPSC,Hospitals,TotalLabs,NonHospitals,Positive,PRate,Test24,Test7,Pos7,PosR7,FID
2021/03/13 11:00:00+00,1260944,3722141,2461197,233274,6.3,16203,102067,3748,3.7,361
2021/03/14 11:00:00+00,1266379,3735490,2469111,233900,6.3,13349,101660,3929,3.9,362
2021/03/15 11:00:00+00,1271124,3746076,2474952,234243,6.3,10586,101564,3808,3.7,363
2021/03/16 11:00:00+00,1277591,3757468,2479877,234622,6.2,11392,99371,3733,3.8,364
2021/03/17 11:00:00+00,1285405,3773458,2488053,235295,6.2,15990,99769,3800,3.8,365
2021/03/18 11:00:00+00,1290766,3786972,2496206,235802,6.2,13514,97533,3720,3.8,366
2021/03/19 11:00:00+00,1298163,3799914,2501751,236410,6.2,12942,93976,3705,3.9,367
2021/03/20 11:00:00+00,1305869,3816535,2510666,237096,6.2,16621,94394,3822,4,368
2021/03/21 11:00:00+00,1311220,3831417,2520197,237707,6.2,14882,95927,3807,4,369
2021/03/22 11:00:00+00,1316519,3844139,2527620,238213,6.2,12722,98063,3970,4,370
2021/03/23 11:00:00+00,1323888,3859183,2535295,238733,6.2,15044,101715,4111,4,371
2021/03/24 11:00:00+00,1332527,3879295,2546768,239435,6.2,20112,105837,4140,3.9,372
2021/03/25 11:00:00+00,1340762,3897274,2556512,240042,6.2,17979,110302,4240,3.8,373
2021/03/26 11:00:00+00,1349522,3915765,2566243,240695,6.1,18491,115851,4285,3.7,374
2021/03/27 11:00:00+00,1357187,3936899,2579712,241361,6.1,21134,120364,4265,3.5,375
2021/03/28 11:00:00+00,1362830,3956518,2593688,241964,6.1,19619,125101,4257,3.4,376
2021/03/29 11:00:00+00,1367776,3970025,2602249,242462,6.1,13507,125886,4249,3.4,377
2021/03/30 11:00:00+00,1375117,3984982,2609865,242850,6.1,14957,125799,4117,3.3,378
2021/03/31 11:00:00+00,1382529,4006134,2623605,243562,6.1,21152,126839,4127,3.3,379
2021/04/01 11:00:00+00,1390210,4025669,2635459,244115,6.1,19535,128395,4073,3.2,380
2021/04/02 11:00:00+00,1397684,4044700,2647016,244779,6.1,19031,128935,4084,3.2,381
2021/04/03 11:00:00+00,1404004,4061362,2657358,245311,6,16662,124463,3950,3.2,382
2021/04/04 11:00:00+00,1408385,4075308,2666923,245688,6,13946,118790,3724,3.1,383
2021/04/05 11:00:00+00,1412408,4087262,2674854,246042,6,11954,117237,3580,3.1,384
2021/04/06 11:00:00+00,1416956,4101126,2684170,246438,6,13864,116144,3588,3.1,385
2021/04/07 11:00:00+00,1424799,4117275,2692476,246851,6,16149,111141,3289,3,386
2021/04/08 11:00:00+00,1432790,4136408,2703618,247299,6,19133,110739,3184,2.9,387
2021/04/09 11:00:00+00,1440211,4153203,2712992,247756,6,16795,108503,2977,2.7,388
2021/04/10 11:00:00+00,1446500,4170052,2723552,248241,6,16849,108690,2930,2.7,389
2021/04/11 11:00:00+00,1452165,4184407,2732242,248665,5.9,14355,109099,2977,2.7,390
2021/04/12 11:00:00+00,1456974,4196325,2739351,248992,5.9,11918,109063,2950,2.7,391
2021/04/13 11:00:00+00,1464612,4209975,2745363,249344,5.9,13650,108849,2906,2.7,392
2021/04/14 11:00:00+00,1472550,4226847,2754297,249797,5.9,16872,109572,2946,2.7,393
2021/04/15 11:00:00+00,1479927,4241709,2761782,250215,5.9,14862,105301,2916,2.8,394
